mechanism,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S2,30,HAT-PH_d_1e-05-t_10-mi_2000,28.87,17.0,260.1,0.0007,2263.19
S2,30,HAT-PH_d_1e-05-t_10-mi_3000,30.67,17.0,214.08,0.0006,2267.27
S2,30,HAT-PH_d_1e-05-t_200-mi_2000,31.7,18.0,280.18,0.0008,2262.19
S2,30,HAT-PH_d_1e-05-t_200-mi_3000,30.67,17.0,294.26,0.0008,2267.31
S2,30,HAT-PH_d_00001-t_10-mi_2000,28.87,17.0,298.07,0.0008,2263.18
S2,30,HAT-PH_d_00001-t_10-mi_3000,30.67,17.0,279.28,0.0008,2267.26
S2,30,HAT-PH_d_00001-t_200-mi_2000,31.7,18.0,303.19,0.0008,2262.19
S2,30,HAT-PH_d_00001-t_200-mi_3000,30.67,17.0,312.05,0.0008,2267.3
S1,30,HAT-PH_d_01-t_10-mi_2000,20.83,9.0,262.99,0.0007,2257.72
S1,30,HAT-PH_d_01-t_10-mi_3000,21.07,10.0,295.7,0.0008,2270.56
S1,30,HAT-PH_d_01-t_200-mi_2000,20.81,9.0,262.16,0.0007,2252.76
S1,30,HAT-PH_d_01-t_200-mi_3000,21.1,10.0,318.88,0.0009,2267.25
S1,30,HAT-PH_d_1e-05-t_10-mi_2000,20.83,9.0,232.21,0.0006,2257.66
S1,30,HAT-PH_d_1e-05-t_10-mi_3000,21.07,10.0,274.8,0.0007,2270.6
S1,30,HAT-PH_d_1e-05-t_200-mi_2000,19.62,9.0,284.28,0.0008,2258.31
S1,30,HAT-PH_d_1e-05-t_200-mi_3000,21.07,10.0,287.38,0.0008,2270.56
S1,30,HAT-PH_d_00001-t_10-mi_2000,20.83,9.0,313.32,0.0008,2257.65
S1,30,HAT-PH_d_00001-t_10-mi_3000,21.07,10.0,229.06,0.0006,2270.56
S1,30,HAT-PH_d_00001-t_200-mi_2000,19.62,9.0,300.15,0.0008,2258.29
S1,30,HAT-PH_d_00001-t_200-mi_3000,21.07,10.0,270.66,0.0007,2270.57
S2,30,HAT-PH_d_01-t_10-mi_2000,28.87,17.0,298.99,0.0008,2263.21
S2,30,HAT-PH_d_01-t_10-mi_3000,30.67,17.0,258.63,0.0007,2267.29
S2,30,HAT-PH_d_01-t_200-mi_2000,30.97,17.0,277.29,0.0007,2264.72
S2,30,HAT-PH_d_01-t_200-mi_3000,23.76,15.0,302.96,0.0008,2274.5
S2,30,HAT-PH_d_1e-05-t_10-mi_2000,28.87,17.0,260.1,0.0007,2263.19
S2,30,HAT-PH_d_1e-05-t_10-mi_3000,30.67,17.0,214.08,0.0006,2267.27
S2,30,HAT-PH_d_1e-05-t_200-mi_2000,31.7,18.0,280.18,0.0008,2262.19
S2,30,HAT-PH_d_1e-05-t_200-mi_3000,30.67,17.0,294.26,0.0008,2267.31
S2,30,HAT-PH_d_00001-t_10-mi_2000,28.87,17.0,298.07,0.0008,2263.18
S2,30,HAT-PH_d_00001-t_10-mi_3000,30.67,17.0,279.28,0.0008,2267.26
S2,30,HAT-PH_d_00001-t_200-mi_2000,31.7,18.0,303.19,0.0008,2262.19
S2,30,HAT-PH_d_00001-t_200-mi_3000,30.67,17.0,312.05,0.0008,2267.3
S3,30,HAT-PH_d_01-t_10-mi_2000,26.63,17.0,237.4,0.0006,2271.68
S3,30,HAT-PH_d_01-t_10-mi_3000,27.45,19.0,259.84,0.0007,2271.54
S3,30,HAT-PH_d_01-t_200-mi_2000,29.41,18.0,309.34,0.0008,2261.51
S3,30,HAT-PH_d_01-t_200-mi_3000,23.15,17.0,296.9,0.0008,2271.32
S3,30,HAT-PH_d_1e-05-t_10-mi_2000,26.63,17.0,302.76,0.0008,2271.67
S3,30,HAT-PH_d_1e-05-t_10-mi_3000,27.45,19.0,234.22,0.0006,2271.54
S3,30,HAT-PH_d_1e-05-t_200-mi_2000,29.52,18.0,261.57,0.0007,2264.37
S3,30,HAT-PH_d_1e-05-t_200-mi_3000,27.45,19.0,307.21,0.0008,2271.54
S3,30,HAT-PH_d_00001-t_10-mi_2000,26.63,17.0,290.1,0.0008,2271.68
S3,30,HAT-PH_d_00001-t_10-mi_3000,27.45,19.0,310.68,0.0008,2271.57
S3,30,HAT-PH_d_00001-t_200-mi_2000,29.52,18.0,282.54,0.0008,2264.38
S3,30,HAT-PH_d_00001-t_200-mi_3000,27.45,19.0,274.91,0.0007,2271.53
S1,30,HAT-PH_d_01-t_200-mi_4000,17.07,9.0,304.33,0.0008,2277.29
S1,30,HAT-PH_d_01-t_200-mi_5000,17.85,9.0,313.47,0.0008,2297.72
S1,30,HAT-PH_d_01-t_200-mi_6000,19.83,9.0,303.95,0.0008,2291.66
S1,30,HAT-PH_d_01-t_300-mi_4000,17.06,9.0,260.97,0.0007,2285.72
S1,30,HAT-PH_d_01-t_300-mi_5000,18.07,10.0,295.29,0.0008,2293.4
S1,30,HAT-PH_d_01-t_300-mi_6000,19.83,9.0,237.34,0.0006,2291.7
S1,30,HAT-PH_d_1e-05-t_200-mi_4000,17.07,9.0,289.83,0.0008,2277.24
S1,30,HAT-PH_d_1e-05-t_200-mi_5000,17.97,10.0,289.85,0.0008,2291.81
S1,30,HAT-PH_d_1e-05-t_200-mi_6000,19.83,9.0,274.83,0.0007,2291.65
S1,30,HAT-PH_d_1e-05-t_300-mi_4000,17.07,9.0,284.78,0.0008,2277.21
S1,30,HAT-PH_d_1e-05-t_300-mi_5000,18.2,10.0,310.3,0.0008,2279.63
S1,30,HAT-PH_d_1e-05-t_300-mi_6000,19.83,9.0,264.98,0.0007,2291.65
S1,30,HAT-PH_d_01-t_200-mi_4000,17.07,9.0,304.33,0.0008,2277.29
S1,30,HAT-PH_d_01-t_200-mi_5000,17.85,9.0,313.47,0.0008,2297.72
S1,30,HAT-PH_d_01-t_200-mi_6000,19.83,9.0,303.95,0.0008,2291.66
S1,30,HAT-PH_d_01-t_300-mi_4000,17.06,9.0,260.97,0.0007,2285.72
S1,30,HAT-PH_d_01-t_300-mi_5000,18.07,10.0,295.29,0.0008,2293.4
S1,30,HAT-PH_d_01-t_300-mi_6000,19.83,9.0,237.34,0.0006,2291.7
S1,30,HAT-PH_d_1e-05-t_200-mi_4000,17.07,9.0,289.83,0.0008,2277.24
S1,30,HAT-PH_d_1e-05-t_200-mi_5000,17.97,10.0,289.85,0.0008,2291.81
S1,30,HAT-PH_d_1e-05-t_200-mi_6000,19.83,9.0,274.83,0.0007,2291.65
S1,30,HAT-PH_d_1e-05-t_300-mi_4000,17.07,9.0,284.78,0.0008,2277.21
S1,30,HAT-PH_d_1e-05-t_300-mi_5000,18.2,10.0,310.3,0.0008,2279.63
S1,30,HAT-PH_d_1e-05-t_300-mi_6000,19.83,9.0,264.98,0.0007,2291.65
S2,30,HAT-PH_d_01-t_200-mi_4000,27.02,14.0,305.69,0.0008,2287.69
S2,30,HAT-PH_d_01-t_200-mi_5000,29.29,16.0,294.84,0.0008,2298.54
S2,30,HAT-PH_d_01-t_200-mi_6000,24.06,14.0,231.68,0.0006,2286.55
S2,30,HAT-PH_d_01-t_300-mi_4000,23.39,15.0,288.53,0.0008,2294.86
S2,30,HAT-PH_d_01-t_300-mi_5000,29.29,16.0,295.52,0.0008,2298.61
S2,30,HAT-PH_d_01-t_300-mi_6000,24.06,14.0,257.56,0.0007,2286.55
S2,30,HAT-PH_d_1e-05-t_200-mi_4000,25.88,15.0,306.41,0.0008,2291.3
S2,30,HAT-PH_d_1e-05-t_200-mi_5000,29.29,16.0,309.68,0.0008,2298.56
S2,30,HAT-PH_d_1e-05-t_200-mi_6000,24.06,14.0,320.82,0.0009,2286.53
S2,30,HAT-PH_d_1e-05-t_300-mi_4000,24.82,15.0,313.4,0.0008,2295.13
S2,30,HAT-PH_d_1e-05-t_300-mi_5000,29.29,16.0,240.63,0.0006,2298.57
S2,30,HAT-PH_d_1e-05-t_300-mi_6000,24.06,14.0,252.88,0.0007,2286.54
S1,30,HAT-PH_d_01-t_200-mi_4000,17.07,9.0,304.33,0.0008,2277.29
S1,30,HAT-PH_d_01-t_200-mi_5000,17.85,9.0,313.47,0.0008,2297.72
S1,30,HAT-PH_d_01-t_200-mi_6000,19.83,9.0,303.95,0.0008,2291.66
S1,30,HAT-PH_d_01-t_300-mi_4000,17.06,9.0,260.97,0.0007,2285.72
S1,30,HAT-PH_d_01-t_300-mi_5000,18.07,10.0,295.29,0.0008,2293.4
S1,30,HAT-PH_d_01-t_300-mi_6000,19.83,9.0,237.34,0.0006,2291.7
S1,30,HAT-PH_d_1e-05-t_200-mi_4000,17.07,9.0,289.83,0.0008,2277.24
S1,30,HAT-PH_d_1e-05-t_200-mi_5000,17.97,10.0,289.85,0.0008,2291.81
S1,30,HAT-PH_d_1e-05-t_200-mi_6000,19.83,9.0,274.83,0.0007,2291.65
S1,30,HAT-PH_d_1e-05-t_300-mi_4000,17.07,9.0,284.78,0.0008,2277.21
S1,30,HAT-PH_d_1e-05-t_300-mi_5000,18.2,10.0,310.3,0.0008,2279.63
S1,30,HAT-PH_d_1e-05-t_300-mi_6000,19.83,9.0,264.98,0.0007,2291.65
S2,30,HAT-PH_d_01-t_200-mi_4000,27.02,14.0,305.69,0.0008,2287.69
S2,30,HAT-PH_d_01-t_200-mi_5000,29.29,16.0,294.84,0.0008,2298.54
S2,30,HAT-PH_d_01-t_200-mi_6000,24.06,14.0,231.68,0.0006,2286.55
S2,30,HAT-PH_d_01-t_300-mi_4000,23.39,15.0,288.53,0.0008,2294.86
S2,30,HAT-PH_d_01-t_300-mi_5000,29.29,16.0,295.52,0.0008,2298.61
S2,30,HAT-PH_d_01-t_300-mi_6000,24.06,14.0,257.56,0.0007,2286.55
S2,30,HAT-PH_d_1e-05-t_200-mi_4000,25.88,15.0,306.41,0.0008,2291.3
S2,30,HAT-PH_d_1e-05-t_200-mi_5000,29.29,16.0,309.68,0.0008,2298.56
S2,30,HAT-PH_d_1e-05-t_200-mi_6000,24.06,14.0,320.82,0.0009,2286.53
S2,30,HAT-PH_d_1e-05-t_300-mi_4000,24.82,15.0,313.4,0.0008,2295.13
S2,30,HAT-PH_d_1e-05-t_300-mi_5000,29.29,16.0,240.63,0.0006,2298.57
S2,30,HAT-PH_d_1e-05-t_300-mi_6000,24.06,14.0,252.88,0.0007,2286.54
S3,30,HAT-PH_d_01-t_200-mi_4000,25.09,17.0,292.84,0.0008,2313.9
S3,30,HAT-PH_d_01-t_200-mi_5000,23.22,15.0,249.6,0.0007,2328.77
S3,30,HAT-PH_d_01-t_200-mi_6000,22.27,16.0,295.63,0.0008,2322.56
S3,30,HAT-PH_d_01-t_300-mi_4000,21.52,16.0,323.58,0.0009,2302.69
S3,30,HAT-PH_d_01-t_300-mi_5000,23.22,15.0,292.05,0.0008,2328.8
S3,30,HAT-PH_d_01-t_300-mi_6000,22.27,16.0,327.95,0.0009,2322.53
S3,30,HAT-PH_d_1e-05-t_200-mi_4000,25.09,17.0,323.99,0.0009,2313.92
S3,30,HAT-PH_d_1e-05-t_200-mi_5000,23.22,15.0,275.17,0.0007,2328.72
S3,30,HAT-PH_d_1e-05-t_200-mi_6000,22.27,16.0,312.12,0.0008,2322.55
S3,30,HAT-PH_d_1e-05-t_300-mi_4000,25.09,17.0,327.33,0.0009,2313.91
S3,30,HAT-PH_d_1e-05-t_300-mi_5000,23.22,15.0,311.76,0.0008,2328.73
S3,30,HAT-PH_d_1e-05-t_300-mi_6000,22.27,16.0,273.73,0.0007,2322.57
S1,30,HAT-PH_d_01-t_400-mi_4000,16.5,9.0,376.95,0.001,2270.4
S1,30,HAT-PH_d_01-t_400-mi_5000,18.21,10.0,381.0,0.001,2288.35
S1,30,HAT-PH_d_01-t_500-mi_4000,17.07,9.0,378.14,0.001,2282.25
S1,30,HAT-PH_d_01-t_500-mi_5000,18.31,10.0,384.09,0.001,2286.24
S1,30,HAT-PH_d_01-t_600-mi_4000,16.81,9.0,383.1,0.001,2292.75
S1,30,HAT-PH_d_01-t_600-mi_5000,18.71,9.0,379.98,0.001,2286.22
S1,30,HAT-PH_d_02-t_400-mi_4000,16.64,9.0,378.11,0.001,2279.95
S1,30,HAT-PH_d_02-t_400-mi_5000,17.86,9.0,378.42,0.001,2282.98
S1,30,HAT-PH_d_02-t_500-mi_4000,18.25,9.0,377.27,0.001,2280.69
S1,30,HAT-PH_d_02-t_500-mi_5000,19.46,9.0,378.98,0.001,2286.13
S1,30,HAT-PH_d_02-t_600-mi_4000,20.4,10.0,375.22,0.001,2276.85
S1,30,HAT-PH_d_02-t_600-mi_5000,16.65,8.0,389.02,0.001,2310.37
S1,30,HAT-PH_d_03-t_400-mi_4000,18.54,8.0,376.68,0.001,2282.86
S1,30,HAT-PH_d_03-t_400-mi_5000,16.44,8.0,375.64,0.001,2277.57
S1,30,HAT-PH_d_03-t_500-mi_4000,18.9,9.0,376.27,0.001,2278.84
S1,30,HAT-PH_d_03-t_500-mi_5000,17.99,8.0,381.31,0.001,2285.23
S1,30,HAT-PH_d_03-t_600-mi_4000,19.26,9.0,207.77,0.0006,2279.59
S1,30,HAT-PH_d_03-t_600-mi_5000,18.2,8.0,209.7,0.0006,2292.87
S1,30,HAT-PH_d_01-t_400-mi_4000,16.5,9.0,376.95,0.001,2270.4
S1,30,HAT-PH_d_01-t_400-mi_5000,18.21,10.0,381.0,0.001,2288.35
S1,30,HAT-PH_d_01-t_500-mi_4000,17.07,9.0,378.14,0.001,2282.25
S1,30,HAT-PH_d_01-t_500-mi_5000,18.31,10.0,384.09,0.001,2286.24
S1,30,HAT-PH_d_01-t_600-mi_4000,16.81,9.0,383.1,0.001,2292.75
S1,30,HAT-PH_d_01-t_600-mi_5000,18.71,9.0,379.98,0.001,2286.22
S1,30,HAT-PH_d_02-t_400-mi_4000,16.64,9.0,378.11,0.001,2279.95
S1,30,HAT-PH_d_02-t_400-mi_5000,17.86,9.0,378.42,0.001,2282.98
S1,30,HAT-PH_d_02-t_500-mi_4000,18.25,9.0,377.27,0.001,2280.69
S1,30,HAT-PH_d_02-t_500-mi_5000,19.46,9.0,378.98,0.001,2286.13
S1,30,HAT-PH_d_02-t_600-mi_4000,20.4,10.0,375.22,0.001,2276.85
S1,30,HAT-PH_d_02-t_600-mi_5000,16.65,8.0,389.02,0.001,2310.37
S1,30,HAT-PH_d_03-t_400-mi_4000,18.54,8.0,376.68,0.001,2282.86
S1,30,HAT-PH_d_03-t_400-mi_5000,16.44,8.0,375.64,0.001,2277.57
S1,30,HAT-PH_d_03-t_500-mi_4000,18.9,9.0,376.27,0.001,2278.84
S1,30,HAT-PH_d_03-t_500-mi_5000,17.99,8.0,381.31,0.001,2285.23
S1,30,HAT-PH_d_03-t_600-mi_4000,19.26,9.0,207.77,0.0006,2279.59
